#ClassId;ClassName;RaceId;STR;CON;DEX;INT;WIT;MEN;HP;MP;P.ATK;P.DEF;M.ATK;M.DEF;P.SPD;M.SPD;ACC;CRITICAL;EVASION;MOVE.SPD;LOAD;x;y;z;canCraft;M_UNK1;M_UNK2;M_COL_R;M_COL_H;F_UNK1;F_UNK2;F_COL_R;F_COL_H;items;items;items;items;items
16;Human Bishop;0;22;27;21;41;20;39;99;59;2;48;7;54;303;333;28;40;28;121;62500;-90256;249792;-3570;0;1.01;0.87264;7.5;22.8;1.01;0.87264;6.5;22.5;461;425;6;;
19;Elf Knight;1;36;36;35;23;14;26;113;39;4;72;3;47;345;249;36;46;36;143;73000;43648;40352;-3430;0;1.15;1.242;7.5;24;1.15;1.242;7.5;23;1147;1146;10;2369;
20;Elf Temple Knight;1;36;36;35;23;14;26;113;39;4;72;3;47;345;249;36;46;36;143;73000;43648;40352;-3430;0;1.15;1.242;7.5;24;1.15;1.242;7.5;23;1147;1146;10;2369;
21;Elf Swordsinger;1;36;36;35;23;14;26;113;39;4;72;3;47;345;249;36;46;36;143;73000;43648;40352;-3430;0;1.15;1.242;7.5;24;1.15;1.242;7.5;23;1147;1146;10;2369;
22;Elf Scout;1;36;36;35;23;14;26;113;39;4;72;3;47;345;249;36;46;36;143;73000;43648;40352;-3430;0;1.15;1.242;7.5;24;1.15;1.242;7.5;23;1147;1146;10;2369;
23;Elf Plainswalker;1;36;36;35;23;14;26;113;39;4;72;3;47;345;249;36;46;36;143;73000;43648;40352;-3430;0;1.15;1.242;7.5;24;1.15;1.242;7.5;23;1147;1146;10;2369;
24;Elf Silver Ranger;1;36;36;35;23;14;26;113;39;4;72;3;47;345;249;36;46;36;143;73000;43648;40352;-3430;0;1.15;1.242;7.5;24;1.15;1.242;7.5;23;1147;1146;10;2369;
26;Elf Wizard;1;21;25;24;37;23;40;96;59;2;48;6;54;312;386;30;41;30;126;62400;43648;40352;-3430;0;1.04;0.89856;7.5;24;1.04;0.89856;7.5;23;461;425;6;;
27;Elf Spellsinger;1;21;25;24;37;23;40;96;59;2;48;6;54;312;386;30;41;30;126;62400;43648;40352;-3430;0;1.04;0.89856;7.5;24;1.04;0.89856;7.5;23;461;425;6;;
28;Elf Elemental Summoner;1;21;25;24;37;23;40;96;59;2;48;6;54;312;386;30;41;30;126;62400;43648;40352;-3430;0;1.04;0.89856;7.5;24;1.04;0.89856;7.5;23;461;425;6;;
29;Elf Oracle;1;21;25;24;37;23;40;96;59;2;48;6;54;312;386;30;41;30;126;62400;43648;40352;-3430;0;1.04;0.89856;7.5;24;1.04;0.89856;7.5;23;461;425;6;;
30;Elf Elder;1;21;25;24;37;23;40;96;59;2;48;6;54;312;386;30;41;30;126;62400;43648;40352;-3430;0;1.04;0.89856;7.5;24;1.04;0.89856;7.5;23;461;425;6;;
32;DE Palas Knight;2;41;32;34;25;12;26;107;39;4;72;3;47;342;226;35;45;35;139;69000;26960;10496;-4220;0;1.14;1.2312;7.5;24;1.14;1.2312;7;23.5;1147;1146;10;2369;
33;DE Shillen Knight;2;41;32;34;25;12;26;107;39;4;72;3;47;342;226;35;45;35;139;69000;26960;10496;-4220;0;1.14;1.2312;7.5;24;1.14;1.2312;7;23.5;1147;1146;10;2369;
34;DE Bladedancer;2;41;32;34;25;12;26;107;39;4;72;3;47;342;226;35;45;35;139;69000;26960;10496;-4220;0;1.14;1.2312;7.5;24;1.14;1.2312;7;23.5;1147;1146;10;2369;
35;DE Assassin;2;41;32;34;25;12;26;107;39;4;72;3;47;342;226;35;45;35;139;69000;26960;10496;-4220;0;1.14;1.2312;7.5;24;1.14;1.2312;7;23.5;1147;1146;10;2369;
36;DE Abyss Walker;2;41;32;34;25;12;26;107;39;4;72;3;47;342;226;35;45;35;139;69000;26960;10496;-4220;0;1.14;1.2312;7.5;24;1.14;1.2312;7;23.5;1147;1146;10;2369;
37;DE Phantom Ranger;2;41;32;34;25;12;26;107;39;4;72;3;47;342;226;35;45;35;139;69000;26960;10496;-4220;0;1.14;1.2312;7.5;24;1.14;1.2312;7;23.5;1147;1146;10;2369;
39;DE Wizard;2;23;24;23;44;19;37;95;58;2;48;7;53;309;316;29;41;29;125;61000;26960;10496;-4220;0;1.14;1.2312;7.5;24;1.03;0.88992;7;23.5;461;425;6;;
40;DE Spellhowler;2;23;24;23;44;19;37;95;58;2;48;7;53;309;316;29;41;29;125;61000;26960;10496;-4220;0;1.14;1.2312;7.5;24;1.03;0.88992;7;23.5;461;425;6;;
41;DE Phantom Summoner;2;23;24;23;44;19;37;95;58;2;48;7;53;309;316;29;41;29;125;61000;26960;10496;-4220;0;1.14;1.2312;7.5;24;1.03;0.88992;7;23.5;461;425;6;;
42;DE Shillen Oracle;2;23;24;23;44;19;37;95;58;2;48;7;53;309;316;29;41;29;125;61000;26960;10496;-4220;0;1.14;1.2312;7.5;24;1.03;0.88992;7;23.5;461;425;6;;
43;DE Shillen Elder;2;23;24;23;44;19;37;95;58;2;48;7;53;309;316;29;41;29;125;61000;26960;10496;-4220;0;1.14;1.2312;7.5;24;1.03;0.88992;7;23.5;461;425;6;;
45;Orc Raider;3;40;47;26;18;12;27;133;39;4;72;2;48;318;226;31;42;31;124;87000;-58192;-113408;-650;0;1.06;1.1448;11;28;1.06;1.1448;7;27;1147;1146;2368;2369;
46;Orc Destroyer;3;40;47;26;18;12;27;133;39;4;72;2;48;318;226;31;42;31;124;87000;-58192;-113408;-650;0;1.06;1.1448;11;28;1.06;1.1448;7;27;1147;1146;2368;2369;
47;Orc Monk;3;40;47;26;18;12;27;133;39;4;72;2;48;318;226;31;42;31;124;87000;-58192;-113408;-650;0;1.06;1.1448;11;28;1.06;1.1448;7;27;1147;1146;2368;2369;
48;Orc Tyrant;3;40;47;26;18;12;27;133;39;4;72;2;48;318;226;31;42;31;124;87000;-58192;-113408;-650;0;1.06;1.1448;11;28;1.06;1.1448;7;27;1147;1146;2368;2369;
50;Orc Shaman;3;25;31;20;31;21;42;105;60;2;48;4;56;312;265;30;41;30;125;68000;-58192;-113408;-650;0;1.04;0.89856;7;27.5;1.04;0.89856;8;25.5;461;425;7;;
51;Orc Overlord;3;25;31;20;31;21;42;105;60;2;48;4;56;312;265;30;41;30;125;68000;-58192;-113408;-650;0;1.04;0.89856;7;27.5;1.04;0.89856;8;25.5;461;425;7;;
52;Orc Warcryer;3;25;31;20;31;21;42;105;60;2;48;4;56;312;265;30;41;30;125;68000;-58192;-113408;-650;0;1.04;0.89856;7;27.5;1.04;0.89856;8;25.5;461;425;7;;
54;Dwarf Scavenger;4;39;45;29;20;10;27;129;39;4;72;3;48;327;203;33;43;33;125;83000;106880;-175056;-420;1;1.09;1.487196;9;18;1.09;1.487196;5;19;1147;1146;10;2370;
55;Dwarf Bounty Hunter;4;39;45;29;20;10;27;129;39;4;72;3;48;327;203;33;43;33;125;83000;106880;-175056;-420;1;1.09;1.487196;9;18;1.09;1.487196;5;19;1147;1146;10;2370;
56;Dwarf Artisan;4;39;45;29;20;10;27;129;39;4;72;3;48;327;203;33;43;33;125;83000;106880;-175056;-420;1;1.09;1.487196;9;18;1.09;1.487196;5;19;1147;1146;10;2370;
57;Dwarf Warsmith;4;39;45;29;20;10;27;129;39;4;72;3;48;327;203;33;43;33;125;83000;106880;-175056;-420;1;1.09;1.487196;9;18;1.09;1.487196;5;19;1147;1146;10;2370;
