# -- By Esa ---------------------------------------------------------------------
#classid;defaulthp;defaulthpadd;defaulthpbonus;defaultmp;defaultmp;defaultmpbonus
#职业ID;基本HP;增加HP;奖励HP;基本MP;增加MP;奖励MP;基本ACC;增加ACC;奖励ACC;基本闪避;增加闪避;奖励闪避
#精灵战士以及晋升职业
#黑暗法师以及晋升职业
38;96.0;14.196;0.156;59.6;10.8472;0.1192;29;1.5;0.200;29;2;0.040
39;96.0;18.196;0.156;59.6;17.8472;0.1192;29;2;0.200;29;2.5;0.040
40;96.0;20.196;0.156;59.6;20.8472;0.1192;29;2.5;0.200;29;3;0.040
41;96.0;20.196;0.156;59.6;21.8472;0.1192;29;2.5;0.200;29;3;0.040
42;96.0;19.196;0.156;59.6;18.8472;0.1192;29;2;0.200;29;2.5;0.040
43;96.0;21.196;0.156;59.6;23.8472;0.1192;29;2.5;0.200;29;3;0.040
#兽人战士以及晋升职业
44;133.4;18.6914;0.2354;35.4;6.9888;0.0761;31;1.8;0.200;31;2;0.40
45;133.4;24.6914;0.2354;35.4;8.9888;0.0761;31;2.2;0.200;31;3;0.40
46;133.4;27.6914;0.2354;35.4;10.9888;0.0761;31;2.5;0.200;31;3.5;0.40
47;133.4;25.6914;0.2354;35.4;9.9888;0.0761;31;2.3;0.200;31;3;0.40
48;133.4;30.6914;0.2354;35.4;11.9888;0.0761;31;2.7;0.200;31;3.5;0.40
#兽人法师以及晋升职业
49;99.2;14.6692;0.1612;59.2;10.7744;0.1184;30;1.4;0.200;30;2;0.04
50;99.2;20.6692;0.1612;59.2;20.7744;0.1184;30;2;0.200;30;3;0.04
51;99.2;20.6692;0.1612;59.2;20.7744;0.1184;30;2;0.200;30;3;0.04
52;99.2;20.6692;0.1612;59.2;20.7744;0.1184;30;2;0.200;30;3;0.04
#矮人战士以及晋升职业
53;139.4;18.8914;0.2654;38.4;6.9888;0.1061;33;2;0.200;33;2;0.04
54;139.4;24.8914;0.2654;38.4;9.9888;0.1061;33;3;0.200;33;3;0.04
55;139.4;29.8914;0.2654;38.4;12.9888;0.1061;33;3.5;0.200;33;4;0.04
56;139.4;29.8914;0.2654;38.4;12.9888;0.1061;33;3.5;0.200;33;4;0.04
57;139.4;25.8914;0.2654;38.4;9.9888;0.1061;33;3;0.200;33;3;0.04
58;139.4;30.8914;0.2654;38.4;12.9888;0.1061;33;3.5;0.200;33;4;0.04
